,,,,FOREIGN STOCKS,,,,US STOCKS,,,BONDS,,CASH,,INFLATION,BILLS,CASH,BILLS
,MSCI,MSCI,MSCI,,Morningstar,Yahoo,Ibbottson,,Ibbottson,Ibbottson,,Ibbottson,FRED (TB3MS),Ibbottson,FRED (CPIAUCSL),FRED,FRED (TB4WK),
Date,USA,WORLD ex USA ,ACWI ex USA,Spliced C and D,AGG,SP500TR,Large Caps,Spliced H+G,Mid-Treasuries,Mid-Corporate Bonds,Spliced F+40%J+60%K,30 day Treas Bills,3-Month Bill,Inflation,CPI,3 MONTH,4-Week Bill,Spliced M+R
8/31/06,"4,115.15","5,215.35",388.108,388.108,1264.799,1997.42,2817.388,1997.417,,,1264.799,18.974,4.96,,203.8,19.894,5.08,18.974
9/29/06,"4,219.91","5,212.27",388.36,388.36,1275.909,2048.89,2889.992,2048.89,,,1275.909,19.051,4.81,,202.8,19.973,4.68,19.051
10/31/06,"4,364.12","5,418.79",404.174,404.174,1284.351,2115.65,2984.166,2115.656,,,1284.351,19.128,4.92,,201.9,20.055,4.88,19.128
11/30/06,"4,450.72","5,581.78",418.848,418.848,1299.253,2155.89,3040.913,2155.887,,,1299.253,19.209,4.94,,202,20.138,5.13,19.209
12/29/06,"4,504.77","5,742.36",431.901,431.901,1291.709,2186.13,3083.57,2186.129,,,1291.709,19.287,4.85,,203.1,20.219,4.78,19.287
1/31/07,"4,586.41","5,777.93",433.514,433.514,1291.176,2219.19,3130.204,2219.191,,,1291.176,19.372,4.98,,203.437,20.303,4.84,19.372
2/28/07,"4,502.53","5,825.08",436.163,436.163,1311.087,2175.78,3068.981,2175.786,,,1311.087,19.447,5.03,,204.226,20.388,5.09,19.447
3/30/07,"4,551.23","5,977.13",448.452,448.452,1311.129,2200.12,3103.307,2200.122,,,1311.129,19.529,4.94,,205.288,20.472,5.11,19.529
4/30/07,"4,746.32","6,254.26",469.248,469.248,1318.2,2297.58,3240.769,2297.577,,,1318.2,19.615,4.87,,205.904,20.555,4.89,19.615
5/31/07,"4,912.53","6,401.13",482.11,482.11,1308.205,2377.75,3353.856,2377.751,,,1308.205,19.694,4.73,,206.755,20.636,4.72,19.694
6/29/07,"4,830.39","6,409.73",486.216,486.216,1304.338,2338.25,3298.137,2338.249,,,1304.338,19.773,4.61,,207.234,20.715,4.42,19.773
7/31/07,"4,680.88","6,321.88",484.83,484.83,1315.219,2265.75,3195.879,2265.752,,,1315.219,19.851,4.82,,207.603,20.799,4.71,19.851
8/31/07,"4,751.96","6,232.00",477.386,477.386,1331.34,2299.71,3243.786,2299.716,,,1331.34,19.934,4.2,,207.667,20.871,4.11,19.934
9/28/07,"4,932.33","6,587.43",508.999,508.999,1341.438,2385.72,3365.1,2385.723,,,1341.438,19.998,3.89,,208.547,20.939,3.7,19.998
10/31/07,"5,015.45","6,874.64",537.411,537.411,1353.489,2423.67,3418.628,2423.672,,,1353.489,20.063,3.9,,209.19,21.007,3.72,20.063
11/30/07,"4,803.74","6,607.65",513.263,513.263,1377.827,2322.34,3275.706,2322.346,,,1377.827,20.131,3.27,,210.834,21.064,3.63,20.131
12/31/07,"4,776.32","6,484.10",505.844,505.844,1381.698,2306.23,3252.981,2306.235,,,1381.698,20.186,3,,211.445,21.117,2.79,20.186
1/31/08,"4,486.44","5,900.27",456.899,456.899,1404.913,2167.9,3057.862,2167.903,,,1404.913,20.229,2.75,,212.174,21.166,2.68,20.229
2/29/08,"4,346.96","6,009.07",470.14,470.14,1406.857,2097.48,2958.525,2097.477,,,1406.857,20.256,2.12,,212.687,21.203,2.23,20.256
3/31/08,"4,330.95","5,926.25",460.002,460.002,1411.656,2088.42,2945.75,2088.42,,,1411.656,20.291,1.26,,213.448,21.225,1.34,20.291
4/30/08,"4,545.32","6,262.85",488.311,488.311,1408.708,2190.13,3089.217,2190.133,,,1408.708,20.326,1.29,,213.942,21.248,1.04,20.326
5/30/08,"4,617.85","6,369.06",496.773,496.773,1398.376,2218.5,3129.23,2218.5,,,1398.376,20.363,1.73,,215.208,21.279,1.73,20.363
6/30/08,"4,241.46","5,875.32",456.055,456.055,1397.255,2031.47,2865.425,2031.473,,,1397.255,20.398,1.86,,217.463,21.312,1.69,20.398
7/31/08,"4,192.95","5,666.90",439.745,439.745,1396.113,2014.39,2841.338,2014.396,,,1396.113,20.429,1.63,,219.016,21.341,1.58,20.429
8/29/08,"4,250.38","5,449.33",419.293,419.293,1409.358,2043.53,2882.437,2043.534,,,1409.358,20.455,1.72,,218.69,21.371,1.65,20.455
9/30/08,"3,860.51","4,664.49",356.439,356.439,1390.429,1861.44,2625.591,1861.44,,,1390.429,20.486,1.13,,218.877,21.391,0.86,20.486
10/31/08,"3,200.30","3,694.62",277.992,277.992,1357.61,1548.81,2184.628,1548.815,,,1357.61,20.503,0.67,,216.995,21.403,0.26,20.503
11/28/08,"2,964.17","3,496.04",262.025,262.025,1401.798,1437.68,2027.871,1437.68,,,1401.798,20.509,0.19,,213.153,21.407,0.09,20.509
12/31/08,"3,002.60","3,680.94",277.004,277.004,1454.102,1452.98,2049.448,1452.978,,,1454.102,20.509,0.03,,211.398,21.407,0.03,20.509
1/30/09,"2,757.99","3,338.20",252.589,252.589,1441.268,1330.51,1876.707,1330.511,,,1441.268,20.509,0.13,,211.933,21.409,0.05,20.509
2/27/09,"2,475.33","3,001.42",229.094,229.094,1435.826,1188.84,1676.88,1188.842,,,1435.826,20.512,0.3,,212.705,21.415,0.22,20.512
3/31/09,"2,687.43","3,200.81",247.589,247.589,1455.786,1292.98,1823.766,1292.978,,,1455.786,20.515,0.21,,212.495,21.419,0.1,20.515
4/30/09,"2,945.48","3,618.43",281.638,281.638,1462.754,1416.73,1998.318,1416.728,,,1462.754,20.518,0.16,,212.709,21.421,0.09,20.518
5/29/09,"3,107.53","4,082.27",320.189,320.189,1473.36,1495.97,2110.089,1495.97,,,1473.36,20.518,0.18,,213.022,21.425,0.14,20.518
6/30/09,"3,114.57","4,041.32",316.757,316.757,1481.735,1498.94,2114.275,1498.937,,,1481.735,20.52,0.18,,214.79,21.428,0.1,20.52
7/31/09,"3,349.33","4,421.47",347.82,347.82,1505.641,1612.31,2274.193,1612.313,,,1505.641,20.522,0.18,,214.726,21.431,0.15,20.522
8/31/09,"3,465.82","4,634.18",360.762,360.762,1521.23,1670.52,2356.301,1670.524,,,1521.23,20.525,0.17,,215.445,21.434,0.12,20.525
9/30/09,"3,600.26","4,826.45",379.369,379.369,1537.213,1732.86,2444.227,1732.86,,,1537.213,20.527,0.12,,215.861,21.436,0.06,20.527
10/30/09,"3,530.52","4,749.39",374.703,374.703,1544.805,1700.67,2398.82,1700.669,,,1544.805,20.527,0.07,,216.509,21.437,0.04,20.527
11/30/09,"3,740.56","4,868.20",385.527,385.527,1564.802,1802.68,2542.71,1802.681,,,1564.802,20.527,0.05,,217.234,21.438,0.05,20.527
12/31/09,"3,817.62","4,946.70",393.734,393.734,1540.336,1837.5,2591.824,1837.501,,,1540.336,20.529,0.05,,217.347,21.439,0.03,20.529
1/29/10,"3,683.70","4,715.32",374.538,374.538,1563.869,1771.4,2498.586,1771.399,,,1563.869,20.529,0.06,,217.488,21.44,0.02,20.529
2/26/10,"3,797.38","4,711.16",374.591,374.591,1569.708,1826.27,2575.985,1826.272,,,1569.708,20.529,0.11,,217.281,21.442,0.06,20.529
3/31/10,"4,024.79","5,017.44",400.267,400.267,1567.78,1936.48,2731.433,1936.478,,,1567.78,20.531,0.15,,217.353,21.445,0.11,20.531
4/30/10,"4,089.28","4,946.65",397.014,397.014,1584.103,1967.05,2774.556,1967.051,,,1584.103,20.533,0.16,,217.403,21.448,0.15,20.533
5/31/10,"3,759.57","4,407.19",355.668,355.668,1597.427,1809.98,2553.006,1809.98,,,1597.427,20.535,0.16,,217.29,21.451,0.15,20.535
6/30/10,"3,559.65","4,344.67",351.198,351.198,1622.477,1715.23,2419.361,1715.231,,,1622.477,20.538,0.12,,217.199,21.453,0.08,20.538
7/30/10,"3,808.44","4,746.88",383.009,383.009,1639.795,1835.4,2588.868,1835.405,,,1639.795,20.541,0.16,,217.605,21.456,0.16,20.541
8/31/10,"3,639.27","4,605.78",372.564,372.564,1660.892,1752.55,2471.996,1752.547,,,1660.892,20.544,0.16,,217.923,21.459,0.15,20.544
9/30/10,"3,970.14","5,048.83",409.715,409.715,1662.664,1908.95,2692.608,1908.953,,,1662.664,20.546,0.15,,218.275,21.461,0.12,20.546
10/29/10,"4,126.48","5,229.20",423.712,423.712,1668.581,1981.59,2795.06,1981.587,,,1668.581,20.549,0.13,,219.035,21.464,0.14,20.549
11/30/10,"4,131.08","5,009.17",407.453,407.453,1658.99,1981.84,2795.418,1981.841,,,1658.99,20.551,0.14,,219.59,21.466,0.13,20.551
12/31/10,"4,407.36","5,413.30",439.42,439.42,1641.101,2114.29,2982.24,2114.29,,,1641.101,20.553,0.14,,220.472,21.469,0.08,20.553
1/31/11,"4,513.03","5,530.81",443.82,443.82,1643.007,2164.4,3052.924,2164.402,,,1643.007,20.555,0.15,,221.187,21.471,0.14,20.555
2/28/11,"4,664.34","5,737.20",455.606,455.606,1647.118,2238.55,3157.514,2238.553,,,1647.118,20.557,0.13,,221.898,21.474,0.11,20.557
3/31/11,"4,669.89","5,624.96",454.742,454.742,1648.028,2239.44,3158.77,2239.443,,,1648.028,20.559,0.1,,223.046,21.475,0.06,20.559
4/29/11,"4,812.79","5,936.57",477.304,477.304,1668.951,2305.76,3252.318,2305.765,,,1668.951,20.56,0.06,,224.093,21.476,0.03,20.56
5/31/11,"4,760.62","5,768.68",464.083,464.083,1690.734,2279.66,3215.504,2279.665,,,1690.734,20.56,0.04,,224.806,21.477,0.02,20.56
6/30/11,"4,679.90","5,688.23",457.5,457.5,1685.782,2241.66,3161.904,2241.665,,,1685.782,20.561,0.04,,224.806,21.478,0.02,20.561
7/29/11,"4,588.74","5,595.55",451.402,451.402,1712.533,2196.08,3097.607,2196.081,,,1712.533,20.56,0.04,,225.395,21.479,0.04,20.56
8/31/11,"4,334.93","5,123.29",412.807,412.807,1737.554,2076.78,2929.34,2076.786,,,1737.554,20.562,0.02,,226.106,21.479,0.02,20.562
9/30/11,"4,023.15","4,610.63",367.011,367.011,1750.191,1930.79,2723.41,1930.79,,,1750.191,20.562,0.01,,226.597,21.479,0,20.562
10/31/11,"4,465.15","5,059.51",405.712,405.712,1752.075,2141.81,3021.06,2141.812,,,1752.075,20.562,0.02,,226.75,21.479,0.01,20.562
11/30/11,"4,452.91","4,827.12",385.099,385.099,1750.552,2137.08,3014.384,2137.079,,,1750.552,20.562,0.01,,227.169,21.48,0.01,20.562
12/30/11,"4,495.07","4,775.43",380.862,380.862,1769.793,2158.94,3045.218,2158.939,,,1769.793,20.562,0.01,,227.223,21.48,0,20.562
1/31/12,"4,706.76","5,034.34",406.785,406.785,1785.325,2255.69,3181.691,2255.693,,,1785.325,20.562,0.03,,227.86,21.48,0.02,20.562
2/29/12,"4,914.14","5,312.69",429.752,429.752,1784.918,2353.23,3319.274,2353.234,,,1784.918,20.563,0.09,,228.377,21.482,0.06,20.563
3/30/12,"5,071.50","5,276.72",424.057,424.057,1775.138,2430.67,3428.511,2430.679,,,1775.138,20.564,0.08,,228.894,21.483,0.06,20.564
4/30/12,"5,040.93","5,192.90",417.75,417.75,1794.822,2415.42,3406.991,2415.422,,,1794.822,20.564,0.08,,229.286,21.485,0.07,20.564
5/31/12,"4,731.22","4,607.11",370.743,370.743,1811.059,2270.25,3202.228,2270.253,,,1811.059,20.565,0.09,,228.722,21.486,0.07,20.565
6/29/12,"4,918.30","4,911.02",392.775,392.775,1811.77,2363.79,3334.166,2363.792,,,1811.77,20.566,0.09,,228.506,21.488,0.05,20.566
7/31/12,"4,984.98","4,972.99",398.444,398.444,1836.762,2396.62,3380.475,2396.623,,,1836.762,20.567,0.1,,228.475,21.49,0.07,20.567
8/31/12,"5,101.98","5,115.65",406.864,406.864,1837.964,2450.6,3456.612,2450.601,,,1837.964,20.568,0.1,,229.844,21.492,0.09,20.568
9/28/12,"5,232.08","5,273.01",422.207,422.207,1840.486,2513.93,3545.938,2513.93,,,1840.486,20.569,0.11,,230.987,21.494,0.07,20.569
10/31/12,"5,137.66","5,310.64",423.9,423.9,1844.106,2467.51,3480.464,2467.511,,,1844.106,20.571,0.1,,231.655,21.495,0.11,20.571
11/30/12,"5,171.12","5,423.09",432.033,432.033,1847.017,2481.82,3500.654,2481.825,,,1847.017,20.572,0.09,,231.278,21.497,0.13,20.572
12/31/12,"5,220.28","5,588.16",447.09,447.09,1844.387,2504.44,3532.562,2504.447,,,1844.387,20.574,0.07,,231.272,21.498,0.04,20.574
1/31/13,"5,496.52","5,864.24",465.356,465.356,1831.487,2634.16,,2634.16,,,1831.487,,0.07,,231.641,21.5,0.05,20.601
2/28/13,"5,567.15","5,807.39",460.545,460.545,1840.671,2669.92,,2669.92,,,1840.671,,0.1,,233.005,21.501,0.08,20.609
3/29/13,"5,776.56","5,856.71",461.691,461.691,1842.14,2770.05,,2770.05,,,1842.14,,0.09,,232.313,21.503,0.08,20.619
4/30/13,"5,890.81","6,130.29",479.114,479.114,1860.784,2823.42,,2823.42,,,1860.784,,0.06,,231.856,21.504,0.05,20.636
5/31/13,"6,014.94","5,999.38",468.468,468.468,1827.577,2889.46,,2889.46,,,1827.577,,0.04,,231.895,21.505,0.02,20.652
6/28/13,"5,934.74","5,776.40",448.306,448.306,1799.312,2850.66,,2850.66,,,1799.312,,0.05,,232.357,21.506,0.03,20.663
7/31/13,"6,247.00","6,084.45",468.037,468.037,1801.771,2995.72,,2995.72,,,1801.771,,0.04,,232.749,21.506,0.02,20.667
8/30/13,"6,074.66","6,006.96",461.674,461.674,1792.556,2908.96,,2908.96,,,1792.556,,0.04,,233.249,21.507,0.04,20.673
9/30/13,"6,275.87","6,433.15",493.882,493.882,1809.527,3000.18,,3000.18,,,1809.527,,0.02,,233.642,21.507,0.02,20.677
10/31/13,"6,554.50","6,649.45",512.063,512.063,1824.155,3138.09,,3138.09,,,1824.155,,0.05,,233.799,21.508,0.11,20.685
11/29/13,"6,741.45","6,691.52",513.028,513.028,1817.332,3233.72,,3233.72,,,1817.332,,0.07,,234.21,21.51,0.05,20.689
12/31/13,"6,922.50","6,793.68",517.641,517.641,1807.062,3315.59,,3315.59,,,1807.062,,0.07,,234.847,21.511,0.02,20.712
1/31/14,"6,687.49","6,520.38",494.197,494.197,1833.762,3200.95,,3200.95,,,1833.762,,0.04,,235.436,21.512,0.02,20.723
2/28/14,"7,001.93","6,878.02",519.154,519.154,1843.508,3347.38,,3347.38,,,1843.508,,0.05,,235.621,21.512,0.05,20.727
3/31/14,"7,050.02","6,852.11",520.809,520.809,1840.368,3375.51,,3375.51,,,1840.368,,0.05,,235.897,21.513,0.05,20.731
4/30/14,"7,092.38","6,965.82",528.063,528.063,1855.903,3400.46,,3400.46,,,1855.903,,0.03,,236.495,21.514,0.02,20.741
5/30/14,"7,261.65","7,082.10",538.871,538.871,1877.028,3480.29,,3480.29,,,1877.028,,0.03,,236.803,21.514,0.03,20.752
6/30/14,"7,417.23","7,185.31",548.143,548.143,1877.997,3552.18,,3552.18,,,1877.997,,0.04,,237.016,21.515,0.02,20.756
7/31/14,"7,312.88","7,057.95",542.835,542.835,1873.286,3503.19,,3503.19,,,1873.286,,0.03,,237.259,21.516,0.02,20.762
8/29/14,"7,606.39","7,064.40",545.94,545.94,1893.968,3643.33,,3643.33,,,1893.968,,0.03,,237.163,21.516,0.03,20.766
9/30/14,"7,487.56","6,776.82",519.677,519.677,1881.114,3592.25,,3592.25,,,1881.114,,0.02,,237.51,21.517,0.01,20.77
10/31/14,"7,668.26","6,669.71",514.585,514.585,1899.601,3679.99,,3679.99,,,1899.601,,0.02,,237.651,21.517,0.02,20.777
11/28/14,"7,871.62","6,752.68",518.373,518.373,1913.076,3778.96,,3778.96,,,1913.076,,0.02,,237.261,21.517,0.04,20.779
12/31/14,"7,847.60","6,530.23",499.859,499.859,1914.866,3769.44,,3769.44,,,1914.866,,0.03,,236.464,21.518,0.03,20.783
1/30/15,"7,626.07","6,508.01",499.185,499.185,1955.019,3656.28,,3656.28,,,1955.019,,0.03,,234.954,21.518,0.02,20.791
2/27/15,"8,072.21","6,897.70",525.938,525.938,1936.637,3866.42,,3866.42,,,1936.637,,0.02,,235.415,21.519,0.02,20.797
3/31/15,"7,955.68","6,788.60",517.827,517.827,1945.63,3805.27,,3805.27,,,1945.63,,0.03,,235.859,21.519,0.02,20.801
4/30/15,"8,028.43","7,087.92",544.34,544.34,1938.649,3841.78,,3841.78,,,1938.649,,0.02,,236.197,21.52,0.02,20.806
5/29/15,"8,135.42","7,034.04",536.319,536.319,1933.98,3891.18,,3891.18,,,1933.98,,0.02,,236.876,21.52,0.01,20.81
6/30/15,"7,981.34","6,836.30",521.578,521.578,1912.892,3815.85,,3815.85,,,1912.892,,0.02,,237.423,21.52,0,20.814
7/31/15,"8,140.84","6,945.38",520.242,520.242,1926.189,3895.8,,3895.8,,,1926.189,,0.03,,237.734,21.521,0.03,20.816
8/31/15,"7,646.98","6,440.36",480.568,480.568,1923.423,3660.75,,3660.75,,,1923.423,,0.07,,237.703,21.522,0.03,20.816
9/30/15,"7,444.47","6,117.72",458.469,458.469,1936.434,3570.17,,3570.17,,,1936.434,,0.02,,237.489,21.522,0,20.822
10/30/15,"8,058.74","6,578.75",492.65,492.65,1936.755,3871.33,,3871.33,,,1936.755,,0.02,,237.949,21.523,0.01,20.829
11/30/15,"8,086.85","6,475.02",482.544,482.544,1931.639,3882.84,,3882.84,,,1931.639,,0.12,,238.302,21.525,0.07,20.829
12/31/15,"7,950.97","6,360.37",473.599,473.599,1925.396,3821.6,,3821.6,,,1925.396,,0.23,,238.041,21.529,0.17,20.831
1/29/16,"7,528.37","5,923.43",441.442,441.442,1951.892,3631.96,,3631.96,,,1951.892,,0.26,,238.107,21.534,0.22,20.845
2/29/16,"7,512.50","5,842.78",436.53,436.53,1965.739,3627.06,,3627.06,,,1965.739,,0.31,,237.707,21.539,0.25,20.881
3/31/16,"8,027.01","6,244.53",472.348,472.348,1983.774,3873.11,,3873.11,,,1983.774,,0.29,,237.92,21.545,0.25,20.927
4/29/16,"8,066.67","6,452.01",485.195,485.195,1991.389,3888.13,,3888.13,,,1991.389,,0.23,,238.89,21.549,0.19,20.979
5/31/16,"8,214.23","6,386.67",477.473,477.473,1991.9,3957.95,,3957.95,,,1991.9,,0.27,,239.403,21.554,0.22,21.031
6/30/16,"8,235.48","6,195.44",470.438,470.438,2027.69,3968.21,,3968.21,,,2027.69,,0.27,,239.907,21.558,0.22,21.071
7/29/16,"8,548.02","6,501.00",493.811,493.811,2040.509,4114.51,,4114.51,,,2040.509,,0.3,,239.81,21.564,0.26,21.118
8/31/16,"8,560.96","6,508.00",497.029,497.029,2038.176,4120.29,,4120.29,,,2038.176,,0.3,,240.301,21.569,0.26,21.164
9/30/16,"8,570.22","6,590.37",503.377,503.377,2036.982,4121.06,,4121.06,,,2036.982,,0.29,,241.002,21.574,0.18,21.219
10/31/16,"8,407.80","6,463.02",496.193,496.193,2021.401,4045.89,,4045.89,,,2021.401,,0.33,,241.863,21.58,0.24,21.274
11/30/16,"8,711.44","6,360.41",484.78,484.78,1973.587,4195.73,,4195.73,,,1973.587,,0.45,,242.348,21.588,0.29,21.313
12/30/16,"8,873.98","6,569.66",497.346,497.346,1976.37,4278.66 ,,4278.66,,,1976.37,,0.51,,243.032,21.598,0.41,21.364
1/31/17,,,,515.01,,,,4359.81 ,,,1980.25,,0.51,,244.158,21.60717915,,
2/28/17,,,,523.3,,,,4532.93 ,,,1993.56,,0.52,,244.456,21.6163622,,
3/31/17,,,,537.046,,,,4538.21 ,,,1992.51,,0.74,,243.752,21.62572929,,
4/28/17,,,,548.864,,,,4584.82 ,,,2007.89,,0.8,,244.158,21.63906516,,
5/12/17,,,,560.497,,,,4602.96 ,,,2007.23,,,,244.158,21.6534912,,
