,,,,US STOCKS,,,BONDS,,CASH,BILLS,INFLATION,,
,Morningstar,Yahoo,Ibbottson,,Ibbottson,Ibbottson,,Ibbottson,FRED (TB4WK),,Ibbottson,FRED (CPIAUCSL),
date,AGG,SP500TR,Large Caps,Spliced H+G,Mid-Treasuries,Mid-Corporate Bonds,Spliced B+40%F+60%G,30 day Treas Bills,4-Week Bill,Spliced I+J,,,Spliced L+M
6/27/1931,,,1.5,1.063,1.266,1.407,22.342,1.19,,1.19,0.844,,15.137
7/27/1931,,,1.392,0.987,1.268,1.414,22.425,1.19,,1.19,0.842,,15.102
8/27/1931,,,1.418,1.005,1.27,1.416,22.458,1.191,,1.191,0.84,,15.066
9/27/1931,,,0.996,0.706,1.255,1.414,22.339,1.191,,1.191,0.836,,14.994
10/27/1931,,,1.085,0.769,1.242,1.362,21.737,1.192,,1.192,0.831,,14.904
11/27/1931,,,0.999,0.708,1.248,1.337,21.528,1.194,,1.194,0.821,,14.725
12/27/1931,,,0.859,0.609,1.228,1.299,21.019,1.196,,1.196,0.814,,14.599
1/27/1932,,,0.836,0.593,1.224,1.292,20.923,1.198,,1.198,0.797,,14.294
2/27/1932,,,0.883,0.626,1.24,1.261,20.721,1.201,,1.201,0.786,,14.097
3/27/1932,,,0.781,0.554,1.25,1.306,21.234,1.203,,1.203,0.782,,14.025
4/27/1932,,,0.625,0.443,1.274,1.283,21.164,1.205,,1.205,0.777,,13.936
5/27/1932,,,0.488,0.346,1.263,1.297,21.231,1.205,,1.205,0.765,,13.721
6/27/1932,,,0.487,0.345,1.276,1.295,21.297,1.206,,1.206,0.76,,13.631
7/27/1932,,,0.672,0.476,1.292,1.301,21.462,1.206,,1.206,0.76,,13.631
8/27/1932,,,0.933,0.661,1.307,1.358,22.127,1.206,,1.206,0.75,,13.451
9/27/1932,,,0.9,0.638,1.311,1.399,22.561,1.207,,1.207,0.747,,13.398
10/27/1932,,,0.779,0.552,1.317,1.409,22.7,1.207,,1.207,0.741,,13.29
11/27/1932,,,0.746,0.529,1.321,1.419,22.825,1.207,,1.207,0.737,,13.218
12/27/1932,,,0.789,0.559,1.337,1.439,23.13,1.207,,1.207,0.73,,13.093
1/27/1933,,,0.795,0.564,1.335,1.518,23.901,1.207,,1.207,0.719,,12.895
2/27/1933,,,0.654,0.464,1.334,1.438,23.1,1.207,,1.207,0.708,,12.698
3/27/1933,,,0.678,0.481,1.348,1.445,23.262,1.208,,1.208,0.702,,12.591
4/27/1933,,,0.966,0.685,1.355,1.431,23.169,1.209,,1.209,0.7,,12.555
5/27/1933,,,1.129,0.8,1.382,1.516,24.192,1.209,,1.209,0.702,,12.591
6/27/1933,,,1.28,0.907,1.383,1.544,24.476,1.21,,1.21,0.709,,12.716
7/27/1933,,,1.169,0.829,1.382,1.569,24.718,1.21,,1.21,0.73,,13.093
8/27/1933,,,1.31,0.929,1.393,1.584,24.939,1.21,,1.21,0.737,,13.218
9/27/1933,,,1.164,0.825,1.396,1.582,24.939,1.21,,1.21,0.737,,13.218
10/27/1933,,,1.064,0.754,1.393,1.588,24.979,1.21,,1.21,0.737,,13.218
11/27/1933,,,1.184,0.839,1.396,1.549,24.612,1.211,,1.211,0.737,,13.218
12/27/1933,,,1.214,0.861,1.361,1.588,24.767,1.211,,1.211,0.734,,13.165
1/27/1934,,,1.344,0.953,1.379,1.629,25.293,1.211,,1.211,0.737,,13.218
2/27/1934,,,1.301,0.922,1.386,1.653,25.578,1.212,,1.212,0.743,,13.326
3/27/1934,,,1.301,0.922,1.412,1.684,26.058,1.212,,1.212,0.743,,13.326
4/27/1934,,,1.268,0.899,1.438,1.701,26.398,1.212,,1.212,0.741,,13.29
5/27/1934,,,1.175,0.833,1.455,1.717,26.67,1.212,,1.212,0.743,,13.326
6/27/1934,,,1.202,0.852,1.468,1.744,27.024,1.212,,1.212,0.745,,13.362
7/27/1934,,,1.066,0.756,1.465,1.752,27.083,1.212,,1.212,0.745,,13.362
8/27/1934,,,1.131,0.802,1.451,1.76,27.07,1.212,,1.212,0.747,,13.398
9/27/1934,,,1.127,0.799,1.431,1.749,26.829,1.212,,1.212,0.758,,13.595
10/27/1934,,,1.095,0.776,1.458,1.767,27.186,1.213,,1.213,0.752,,13.487
11/27/1934,,,1.198,0.849,1.465,1.79,27.46,1.213,,1.213,0.75,,13.451
12/27/1934,,,1.197,0.849,1.483,1.808,27.758,1.213,,1.213,0.749,,13.434
1/27/1935,,,1.148,0.814,1.5,1.846,28.248,1.213,,1.213,0.76,,13.631
2/27/1935,,,1.109,0.786,1.516,1.872,28.612,1.213,,1.213,0.765,,13.721
3/27/1935,,,1.077,0.764,1.535,1.88,28.817,1.213,,1.213,0.764,,13.703
4/27/1935,,,1.182,0.838,1.552,1.901,29.138,1.213,,1.213,0.771,,13.828
5/27/1935,,,1.231,0.873,1.546,1.909,29.178,1.214,,1.214,0.767,,13.756
6/27/1935,,,1.317,0.934,1.564,1.931,29.515,1.214,,1.214,0.765,,13.721
7/27/1935,,,1.429,1.013,1.57,1.952,29.763,1.214,,1.214,0.762,,13.667
8/27/1935,,,1.469,1.041,1.558,1.944,29.604,1.214,,1.214,0.762,,13.667
9/27/1935,,,1.507,1.068,1.55,1.944,29.551,1.214,,1.214,0.765,,13.721
10/27/1935,,,1.624,1.151,1.566,1.952,29.737,1.214,,1.214,0.765,,13.721
11/27/1935,,,1.7,1.205,1.569,1.966,29.896,1.215,,1.215,0.769,,13.792
12/27/1935,,,1.767,1.253,1.587,1.982,30.173,1.215,,1.215,0.771,,13.828
1/27/1936,,,1.886,1.337,1.587,1.998,30.332,1.215,,1.215,0.771,,13.828
2/27/1936,,,1.928,1.367,1.598,2.009,30.514,1.215,,1.215,0.767,,13.756
3/27/1936,,,1.98,1.404,1.603,2.026,30.716,1.215,,1.215,0.764,,13.703
4/27/1936,,,1.831,1.298,1.607,2.031,30.792,1.216,,1.216,0.764,,13.703
5/27/1936,,,1.931,1.369,1.613,2.039,30.911,1.216,,1.216,0.764,,13.703
6/27/1936,,,1.995,1.414,1.615,2.056,31.093,1.216,,1.216,0.771,,13.828
7/27/1936,,,2.135,1.514,1.618,2.058,31.133,1.216,,1.216,0.775,,13.9
8/27/1936,,,2.167,1.536,1.626,2.072,31.325,1.216,,1.216,0.78,,13.99
9/27/1936,,,2.174,1.541,1.628,2.086,31.477,1.217,,1.217,0.782,,14.025
10/27/1936,,,2.342,1.66,1.632,2.091,31.553,1.217,,1.217,0.78,,13.99
11/27/1936,,,2.374,1.683,1.645,2.114,31.867,1.217,,1.217,0.78,,13.99
12/27/1936,,,2.367,1.678,1.636,2.116,31.828,1.217,,1.217,0.78,,13.99
1/27/1937,,,2.459,1.743,1.631,2.121,31.844,1.217,,1.217,0.786,,14.097
2/27/1937,,,2.506,1.777,1.632,2.111,31.752,1.217,,1.217,0.788,,14.133
3/27/1937,,,2.487,1.763,1.605,2.087,31.335,1.218,,1.218,0.793,,14.223
4/27/1937,,,2.286,1.621,1.613,2.101,31.527,1.218,,1.218,0.797,,14.294
5/27/1937,,,2.28,1.616,1.625,2.11,31.695,1.219,,1.219,0.801,,14.366
6/27/1937,,,2.165,1.535,1.623,2.121,31.791,1.219,,1.219,0.803,,14.402
7/27/1937,,,2.391,1.695,1.633,2.129,31.937,1.219,,1.219,0.806,,14.456
8/27/1937,,,2.276,1.614,1.626,2.125,31.851,1.22,,1.22,0.808,,14.492
9/27/1937,,,1.957,1.387,1.639,2.131,31.996,1.22,,1.22,0.816,,14.635
10/27/1937,,,1.765,1.251,1.644,2.145,32.168,1.22,,1.22,0.812,,14.563
11/27/1937,,,1.612,1.143,1.651,2.159,32.354,1.221,,1.221,0.806,,14.456
12/27/1937,,,1.538,1.09,1.661,2.174,32.569,1.221,,1.221,0.804,,14.42
1/27/1938,,,1.561,1.107,1.676,2.182,32.747,1.221,,1.221,0.793,,14.223
2/27/1938,,,1.666,1.181,1.684,2.184,32.82,1.221,,1.221,0.786,,14.097
3/27/1938,,,1.252,0.888,1.682,2.165,32.618,1.221,,1.221,0.786,,14.097
4/27/1938,,,1.433,1.016,1.721,2.195,33.174,1.221,,1.221,0.79,,14.169
5/27/1938,,,1.386,0.983,1.725,2.197,33.221,1.221,,1.221,0.786,,14.097
6/27/1938,,,1.733,1.229,1.738,2.218,33.515,1.221,,1.221,0.786,,14.097
7/27/1938,,,1.862,1.32,1.74,2.233,33.677,1.221,,1.221,0.788,,14.133
8/27/1938,,,1.82,1.29,1.742,2.229,33.651,1.221,,1.221,0.786,,14.097
9/27/1938,,,1.85,1.312,1.74,2.253,33.876,1.221,,1.221,0.786,,14.097
10/27/1938,,,1.993,1.413,1.756,2.271,34.16,1.221,,1.221,0.782,,14.025
