,,,,US STOCKS,,,BONDS,,CASH,BILLS,INFLATION,,
,Morningstar,Yahoo,Ibbottson,,Ibbottson,Ibbottson,,Ibbottson,FRED (TB4WK),,Ibbottson,FRED (CPIAUCSL),
date,AGG,SP500TR,Large Caps,Spliced H+G,Mid-Treasuries,Mid-Corporate Bonds,Spliced B+40%F+60%G,30 day Treas Bills,4-Week Bill,Spliced I+J,,,Spliced L+M
8/27/1948,,,4.174,2.959,2.145,2.953,43.503,1.256,,1.256,1.367,,24.518
9/27/1948,,,4.059,2.878,2.147,2.96,43.586,1.256,,1.256,1.367,,24.518
10/27/1948,,,4.347,3.082,2.149,2.967,43.669,1.257,,1.257,1.361,,24.41
11/27/1948,,,3.929,2.785,2.154,2.992,43.95,1.257,,1.257,1.352,,24.249
12/27/1948,,,4.065,2.882,2.161,3.031,44.383,1.258,,1.258,1.343,,24.087
1/27/1949,,,4.081,2.893,2.167,3.043,44.542,1.259,,1.259,1.341,,24.051
2/27/1949,,,3.96,2.807,2.169,3.054,44.665,1.26,,1.26,1.326,,23.782
3/27/1949,,,4.09,2.9,2.175,3.056,44.724,1.262,,1.262,1.33,,23.854
4/27/1949,,,4.017,2.848,2.178,3.063,44.814,1.263,,1.263,1.331,,23.872
5/27/1949,,,3.913,2.774,2.183,3.075,44.966,1.264,,1.264,1.33,,23.854
6/27/1949,,,3.919,2.778,2.194,3.101,45.297,1.265,,1.265,1.331,,23.872
7/27/1949,,,4.174,2.959,2.198,3.132,45.631,1.266,,1.266,1.322,,23.71
8/27/1949,,,4.265,3.024,2.205,3.143,45.786,1.267,,1.267,1.326,,23.782
9/27/1949,,,4.377,3.103,2.207,3.15,45.869,1.269,,1.269,1.331,,23.872
10/27/1949,,,4.526,3.209,2.208,3.171,46.084,1.27,,1.27,1.324,,23.746
11/27/1949,,,4.605,3.265,2.208,3.178,46.153,1.271,,1.271,1.326,,23.782
12/27/1949,,,4.829,3.424,2.211,3.132,45.717,1.272,,1.272,1.318,,23.639
1/27/1950,,,4.924,3.491,2.21,3.143,45.819,1.273,,1.273,1.313,,23.549
2/27/1950,,,5.022,3.56,2.212,3.145,45.852,1.274,,1.274,1.309,,23.477
3/27/1950,,,5.057,3.585,2.212,3.152,45.922,1.275,,1.275,1.315,,23.585
4/27/1950,,,5.303,3.76,2.213,3.15,45.909,1.276,,1.276,1.317,,23.621
5/27/1950,,,5.573,3.951,2.218,3.147,45.912,1.278,,1.278,1.322,,23.71
6/27/1950,,,5.267,3.734,2.218,3.154,45.981,1.279,,1.279,1.33,,23.854
7/27/1950,,,5.33,3.779,2.223,3.176,46.233,1.28,,1.28,1.343,,24.087
8/27/1950,,,5.566,3.946,2.221,3.188,46.339,1.281,,1.281,1.354,,24.284
9/27/1950,,,5.895,4.179,2.22,3.176,46.213,1.283,,1.283,1.363,,24.446
10/27/1950,,,5.949,4.218,2.221,3.173,46.19,1.284,,1.284,1.371,,24.589
11/27/1950,,,6.05,4.289,2.225,3.19,46.385,1.286,,1.286,1.376,,24.679
12/27/1950,,,6.36,4.509,2.227,3.198,46.478,1.287,,1.287,1.395,,25.02
1/27/1951,,,6.765,4.796,2.231,3.204,46.564,1.289,,1.289,1.417,,25.414
2/27/1951,,,6.871,4.871,2.233,3.19,46.438,1.29,,1.29,1.434,,25.719
3/27/1951,,,6.764,4.795,2.205,3.114,45.498,1.291,,1.291,1.439,,25.809
4/27/1951,,,7.109,5.04,2.217,3.111,45.548,1.293,,1.293,1.441,,25.845
5/27/1951,,,6.896,4.889,2.208,3.107,45.449,1.295,,1.295,1.447,,25.952
6/27/1951,,,6.739,4.778,2.219,3.078,45.234,1.296,,1.296,1.445,,25.917
7/27/1951,,,7.218,5.117,2.232,3.141,45.945,1.298,,1.298,1.447,,25.952
8/27/1951,,,7.563,5.362,2.24,3.177,46.355,1.3,,1.3,1.447,,25.952
9/27/1951,,,7.573,5.369,2.227,3.159,46.091,1.301,,1.301,1.456,,26.114
10/27/1951,,,7.495,5.314,2.231,3.113,45.66,1.303,,1.303,1.464,,26.257
11/27/1951,,,7.567,5.365,2.238,3.094,45.518,1.305,,1.305,1.471,,26.383
12/27/1951,,,7.888,5.592,2.235,3.112,45.677,1.306,,1.306,1.477,,26.49
1/27/1952,,,8.03,5.693,2.243,3.174,46.345,1.308,,1.308,1.477,,26.49
2/27/1952,,,7.804,5.533,2.239,3.147,46.051,1.31,,1.31,1.467,,26.311
3/27/1952,,,8.197,5.811,2.253,3.171,46.382,1.311,,1.311,1.467,,26.311
4/27/1952,,,7.867,5.577,2.266,3.169,46.448,1.313,,1.313,1.473,,26.419
5/27/1952,,,8.137,5.769,2.27,3.179,46.574,1.314,,1.314,1.475,,26.455
6/27/1952,,,8.536,6.052,2.262,3.184,46.57,1.316,,1.316,1.479,,26.526
7/27/1952,,,8.703,6.17,2.254,3.189,46.567,1.318,,1.318,1.49,,26.724
8/27/1952,,,8.642,6.127,2.249,3.209,46.732,1.32,,1.32,1.492,,26.759
9/27/1952,,,8.49,6.019,2.253,3.204,46.709,1.322,,1.322,1.49,,26.724
10/27/1952,,,8.507,6.031,2.268,3.216,46.928,1.324,,1.324,1.492,,26.759
11/27/1952,,,8.993,6.376,2.267,3.251,47.268,1.326,,1.326,1.492,,26.759
12/27/1952,,,9.336,6.619,2.271,3.221,46.997,1.328,,1.328,1.49,,26.724
1/27/1953,,,9.291,6.587,2.271,3.196,46.749,1.33,,1.33,1.486,,26.652
2/27/1953,,,9.192,6.517,2.271,3.183,46.62,1.332,,1.332,1.479,,26.526
3/27/1953,,,8.997,6.378,2.267,3.172,46.484,1.334,,1.334,1.482,,26.58
4/27/1953,,,8.783,6.227,2.246,3.094,45.571,1.337,,1.337,1.484,,26.616
5/27/1953,,,8.851,6.275,2.219,3.084,45.293,1.339,,1.339,1.488,,26.688
6/27/1953,,,8.732,6.191,2.254,3.118,45.862,1.341,,1.341,1.493,,26.777
7/27/1953,,,8.971,6.36,2.266,3.173,46.488,1.343,,1.343,1.497,,26.849
8/27/1953,,,8.521,6.041,2.265,3.146,46.213,1.345,,1.345,1.501,,26.921
9/27/1953,,,8.551,6.062,2.309,3.226,47.298,1.348,,1.348,1.503,,26.957
10/27/1953,,,9.012,6.389,2.317,3.299,48.076,1.349,,1.349,1.507,,27.028
11/27/1953,,,9.196,6.52,2.321,3.275,47.864,1.35,,1.35,1.501,,26.921
12/27/1953,,,9.244,6.554,2.345,3.331,48.579,1.352,,1.352,1.499,,26.885
1/27/1954,,,9.739,6.905,2.36,3.373,49.095,1.354,,1.354,1.503,,26.957
2/27/1954,,,9.848,6.982,2.383,3.439,49.902,1.355,,1.355,1.501,,26.921
3/27/1954,,,10.168,7.209,2.39,3.453,50.087,1.356,,1.356,1.499,,26.885
4/27/1954,,,10.693,7.581,2.4,3.441,50.034,1.357,,1.357,1.495,,26.813
5/27/1954,,,11.139,7.897,2.382,3.427,49.776,1.357,,1.357,1.501,,26.921
6/27/1954,,,11.173,7.921,2.412,3.448,50.183,1.358,,1.358,1.503,,26.957
7/27/1954,,,11.831,8.388,2.411,3.462,50.316,1.359,,1.359,1.503,,26.957
8/27/1954,,,11.506,8.157,2.414,3.468,50.395,1.36,,1.36,1.501,,26.921
9/27/1954,,,12.485,8.851,2.409,3.482,50.501,1.361,,1.361,1.497,,26.849
10/27/1954,,,12.277,8.704,2.406,3.496,50.62,1.362,,1.362,1.493,,26.777
11/27/1954,,,13.393,9.495,2.406,3.505,50.709,1.363,,1.363,1.495,,26.813
12/27/1954,,,14.108,10.002,2.407,3.511,50.775,1.364,,1.364,1.492,,26.759
1/27/1955,,,14.387,10.2,2.4,3.477,50.392,1.365,,1.365,1.492,,26.759
2/27/1955,,,14.528,10.3,2.387,3.455,50.087,1.366,,1.366,1.492,,26.759
3/27/1955,,,14.485,10.269,2.393,3.486,50.435,1.367,,1.367,1.492,,26.759
4/27/1955,,,15.059,10.676,2.394,3.486,50.441,1.369,,1.369,1.492,,26.759
5/27/1955,,,15.142,10.735,2.394,3.48,50.382,1.371,,1.371,1.492,,26.759
6/27/1955,,,16.416,11.638,2.386,3.49,50.428,1.372,,1.372,1.492,,26.759
7/27/1955,,,17.437,12.362,2.369,3.476,50.177,1.373,,1.373,1.497,,26.849
8/27/1955,,,17.393,12.331,2.37,3.462,50.044,1.376,,1.376,1.493,,26.777
9/27/1955,,,17.618,12.49,2.39,3.489,50.445,1.378,,1.378,1.499,,26.885
10/27/1955,,,17.118,12.136,2.407,3.516,50.825,1.38,,1.38,1.499,,26.885
11/27/1955,,,18.533,13.139,2.394,3.505,50.63,1.383,,1.383,1.501,,26.921
12/27/1955,,,18.561,13.159,2.392,3.527,50.835,1.385,,1.385,1.497,,26.849
1/27/1956,,,17.917,12.702,2.417,3.564,51.368,1.388,,1.388,1.495,,26.813
2/27/1956,,,18.657,13.227,2.418,3.573,51.464,1.391,,1.391,1.495,,26.813
3/27/1956,,,19.982,14.166,2.393,3.521,50.782,1.393,,1.393,1.497,,26.849
4/27/1956,,,19.973,14.16,2.393,3.481,50.385,1.396,,1.396,1.499,,26.885
5/27/1956,,,18.788,13.32,2.42,3.499,50.742,1.399,,1.399,1.507,,27.028
6/27/1956,,,19.557,13.865,2.421,3.493,50.689,1.402,,1.402,1.516,,27.19
7/27/1956,,,20.594,14.6,2.398,3.46,50.21,1.405,,1.405,1.527,,27.387
8/27/1956,,,19.919,14.122,2.373,3.388,49.33,1.407,,1.407,1.525,,27.351
9/27/1956,,,19.043,13.501,2.395,3.392,49.515,1.41,,1.41,1.527,,27.387
10/27/1956,,,19.169,13.59,2.39,3.357,49.134,1.413,,1.413,1.536,,27.549
11/27/1956,,,19.072,13.521,2.379,3.314,48.635,1.416,,1.416,1.536,,27.549
12/27/1956,,,19.778,14.022,2.382,3.287,48.387,1.419,,1.419,1.54,,27.62
1/27/1957,,,18.986,13.46,2.438,3.352,49.402,1.423,,1.423,1.542,,27.656
2/27/1957,,,18.485,13.105,2.435,3.383,49.69,1.426,,1.426,1.547,,27.746
3/27/1957,,,18.882,13.386,2.439,3.4,49.885,1.43,,1.43,1.551,,27.818
4/27/1957,,,19.614,13.905,2.415,3.377,49.498,1.433,,1.433,1.557,,27.925
5/27/1957,,,20.472,14.514,2.411,3.352,49.224,1.437,,1.437,1.561,,27.997
6/27/1957,,,20.481,14.52,2.385,3.244,47.98,1.441,,1.441,1.57,,28.158
7/27/1957,,,20.749,14.71,2.382,3.209,47.613,1.445,,1.445,1.577,,28.284
8/27/1957,,,19.701,13.967,2.408,3.206,47.755,1.448,,1.448,1.579,,28.32
9/27/1957,,,18.516,13.127,2.408,3.236,48.053,1.452,,1.452,1.581,,28.356
10/27/1957,,,17.957,12.731,2.418,3.244,48.198,1.456,,1.456,1.581,,28.356
11/27/1957,,,18.372,13.025,2.514,3.344,49.826,1.46,,1.46,1.587,,28.463
12/27/1957,,,17.646,12.51,2.568,3.573,52.456,1.464,,1.464,1.587,,28.463
1/27/1958,,,18.431,13.067,2.577,3.609,52.873,1.468,,1.468,1.596,,28.625
2/27/1958,,,18.17,12.882,2.613,3.606,53.081,1.47,,1.47,1.598,,28.661
3/27/1958,,,18.767,13.305,2.627,3.589,53.005,1.471,,1.471,1.609,,28.858
4/27/1958,,,19.4,13.754,2.64,3.648,53.677,1.472,,1.472,1.613,,28.93
5/27/1958,,,19.81,14.044,2.656,3.659,53.892,1.474,,1.474,1.613,,28.93
6/27/1958,,,20.363,14.436,2.638,3.645,53.634,1.474,,1.474,1.615,,28.966
7/27/1958,,,21.277,15.084,2.614,3.59,52.929,1.475,,1.475,1.616,,28.983
8/27/1958,,,21.651,15.35,2.521,3.475,51.172,1.476,,1.476,1.615,,28.966
9/27/1958,,,22.735,16.118,2.517,3.441,50.809,1.479,,1.479,1.615,,28.966
10/27/1958,,,23.348,16.553,2.518,3.478,51.182,1.481,,1.481,1.615,,28.966
11/27/1958,,,24.012,17.023,2.551,3.515,51.768,1.483,,1.483,1.616,,28.983
12/27/1958,,,25.298,17.935,2.535,3.494,51.454,1.486,,1.486,1.615,,28.966
1/27/1959,,,25.43,18.029,2.532,3.484,51.335,1.489,,1.489,1.616,,28.983
2/27/1959,,,25.554,18.117,2.559,3.528,51.95,1.492,,1.492,1.615,,28.966
3/27/1959,,,25.605,18.153,2.55,3.499,51.603,1.496,,1.496,1.615,,28.966
4/27/1959,,,26.635,18.883,2.536,3.439,50.914,1.499,,1.499,1.616,,28.983
5/27/1959,,,27.273,19.335,2.536,3.4,50.527,1.502,,1.502,1.618,,29.019
6/27/1959,,,27.213,19.293,2.517,3.415,50.55,1.505,,1.505,1.626,,29.163
7/27/1959,,,28.199,19.992,2.525,3.445,50.901,1.509,,1.509,1.629,,29.217
8/27/1959,,,27.911,19.788,2.505,3.422,50.541,1.512,,1.512,1.628,,29.199
9/27/1959,,,26.674,18.911,2.51,3.392,50.276,1.517,,1.517,1.633,,29.288
10/27/1959,,,27.017,19.154,2.554,3.447,51.113,1.521,,1.521,1.639,,29.396
11/27/1959,,,27.519,19.51,2.53,3.494,51.421,1.525,,1.525,1.639,,29.396
12/27/1959,,,28.322,20.079,2.525,3.46,51.05,1.53,,1.53,1.639,,29.396
1/27/1960,,,26.34,18.674,2.564,3.498,51.685,1.535,,1.535,1.637,,29.36
2/27/1960,,,26.729,18.95,2.583,3.542,52.248,1.54,,1.54,1.639,,29.396
3/27/1960,,,26.4,18.716,2.658,3.61,53.419,1.545,,1.545,1.639,,29.396
4/27/1960,,,25.976,18.416,2.641,3.602,53.227,1.548,,1.548,1.648,,29.557
5/27/1960,,,26.821,19.015,2.649,3.594,53.201,1.552,,1.552,1.648,,29.557
6/27/1960,,,27.388,19.417,2.707,3.645,54.091,1.556,,1.556,1.652,,29.629
7/27/1960,,,26.748,18.963,2.779,3.739,55.5,1.558,,1.558,1.652,,29.629
8/27/1960,,,27.596,19.564,2.778,3.783,55.93,1.561,,1.561,1.652,,29.629
9/27/1960,,,25.968,18.41,2.786,3.759,55.745,1.563,,1.563,1.654,,29.665
10/27/1960,,,25.949,18.397,2.79,3.762,55.801,1.567,,1.567,1.661,,29.791
11/27/1960,,,27.154,19.251,2.764,3.735,55.361,1.569,,1.569,1.663,,29.826
12/27/1960,,,28.455,20.173,2.822,3.774,56.132,1.571,,1.571,1.663,,29.826
1/27/1961,,,30.291,21.475,2.805,3.83,56.575,1.574,,1.574,1.663,,29.826
2/27/1961,,,31.257,22.16,2.831,3.911,57.551,1.576,,1.576,1.663,,29.826
3/27/1961,,,32.1,22.757,2.841,3.899,57.498,1.579,,1.579,1.663,,29.826
4/27/1961,,,32.262,22.872,2.856,3.854,57.151,1.582,,1.582,1.663,,29.826
5/27/1961,,,33.033,23.419,2.848,3.873,57.287,1.585,,1.585,1.663,,29.826
6/27/1961,,,32.125,22.775,2.841,3.842,56.933,1.588,,1.588,1.665,,29.862
7/27/1961,,,33.223,23.554,2.843,3.857,57.095,1.591,,1.591,1.672,,29.988
8/27/1961,,,34.029,24.125,2.848,3.85,57.058,1.593,,1.593,1.67,,29.952
9/27/1961,,,33.404,23.682,2.871,3.906,57.766,1.596,,1.596,1.674,,30.024
10/27/1961,,,34.401,24.389,2.875,3.955,58.279,1.599,,1.599,1.674,,30.024
11/27/1961,,,35.94,25.48,2.869,3.966,58.349,1.601,,1.601,1.674,,30.024
12/27/1961,,,36.106,25.598,2.874,3.956,58.282,1.604,,1.604,1.674,,30.024
1/27/1962,,,34.784,24.66,2.861,3.988,58.514,1.608,,1.608,1.674,,30.024
2/27/1962,,,35.511,25.176,2.906,4.008,59.01,1.612,,1.612,1.678,,30.095
3/27/1962,,,35.349,25.061,2.932,4.069,59.788,1.615,,1.615,1.682,,30.167
4/27/1962,,,33.204,23.54,2.939,4.127,60.41,1.618,,1.618,1.685,,30.221
5/27/1962,,,30.512,21.632,2.953,4.127,60.502,1.622,,1.622,1.685,,30.221
6/27/1962,,,28.061,19.894,2.945,4.116,60.34,1.626,,1.626,1.685,,30.221
7/27/1962,,,29.891,21.191,2.941,4.11,60.254,1.63,,1.63,1.689,,30.293
8/27/1962,,,30.512,21.632,2.978,4.169,61.085,1.634,,1.634,1.689,,30.293
9/27/1962,,,29.092,20.625,2.984,4.206,61.492,1.637,,1.637,1.698,,30.454
10/27/1962,,,29.279,20.757,3,4.234,61.875,1.641,,1.641,1.696,,30.418
11/27/1962,,,32.459,23.012,3.018,4.261,62.263,1.645,,1.645,1.696,,30.418
12/27/1962,,,32.954,23.363,3.034,4.27,62.458,1.648,,1.648,1.695,,30.4
1/27/1963,,,34.62,24.544,3.026,4.296,62.663,1.652,,1.652,1.696,,30.418
2/27/1963,,,33.794,23.958,3.031,4.305,62.785,1.656,,1.656,1.698,,30.454
3/27/1963,,,35.045,24.845,3.039,4.317,62.957,1.66,,1.66,1.7,,30.49
4/27/1963,,,36.798,26.088,3.048,4.295,62.798,1.664,,1.664,1.7,,30.49
5/27/1963,,,37.51,26.593,3.053,4.315,63.03,1.668,,1.668,1.7,,30.49
6/27/1963,,,36.805,26.093,3.057,4.334,63.245,1.672,,1.672,1.708,,30.633
7/27/1963,,,36.726,26.037,3.058,4.346,63.371,1.677,,1.677,1.715,,30.759
8/27/1963,,,38.692,27.431,3.064,4.361,63.559,1.681,,1.681,1.715,,30.759
9/27/1963,,,38.318,27.166,3.068,4.351,63.487,1.685,,1.685,1.715,,30.759
10/27/1963,,,39.617,28.087,3.071,4.372,63.715,1.69,,1.69,1.717,,30.795
11/27/1963,,,39.435,27.958,3.083,4.379,63.864,1.695,,1.695,1.719,,30.831
12/27/1963,,,40.469,28.691,3.084,4.364,63.722,1.7,,1.7,1.723,,30.903
1/27/1964,,,41.612,29.501,3.094,4.402,64.165,1.705,,1.705,1.724,,30.92
2/27/1964,,,42.222,29.933,3.098,4.426,64.43,1.709,,1.709,1.723,,30.903
3/27/1964,,,42.917,30.426,3.103,4.398,64.185,1.715,,1.715,1.724,,30.92
4/27/1964,,,43.238,30.654,3.113,4.416,64.43,1.72,,1.72,1.726,,30.956
5/27/1964,,,43.94,31.151,3.138,4.441,64.843,1.724,,1.724,1.726,,30.956
6/27/1964,,,44.721,31.705,3.15,4.463,65.141,1.729,,1.729,1.73,,31.028
7/27/1964,,,45.592,32.323,3.158,4.486,65.422,1.734,,1.734,1.734,,31.1
8/27/1964,,,45.055,31.942,3.167,4.502,65.64,1.739,,1.739,1.732,,31.064
9/27/1964,,,46.409,32.902,3.181,4.512,65.832,1.744,,1.744,1.736,,31.136
10/27/1964,,,46.856,33.219,3.191,4.534,66.117,1.749,,1.749,1.737,,31.154
11/27/1964,,,46.878,33.234,3.19,4.533,66.1,1.754,,1.754,1.741,,31.225
12/27/1964,,,47.139,33.419,3.209,4.572,66.613,1.76,,1.76,1.743,,31.261
1/27/1965,,,48.763,34.571,3.222,4.609,67.066,1.765,,1.765,1.743,,31.261
2/27/1965,,,48.913,34.677,3.228,4.614,67.156,1.77,,1.77,1.743,,31.261
3/27/1965,,,48.264,34.217,3.242,4.619,67.298,1.776,,1.776,1.745,,31.297
4/27/1965,,,49.984,35.436,3.25,4.629,67.45,1.782,,1.782,1.75,,31.387
5/27/1965,,,49.833,35.329,3.262,4.625,67.49,1.787,,1.787,1.754,,31.459
6/27/1965,,,47.477,33.659,3.278,4.627,67.616,1.794,,1.794,1.764,,31.638
7/27/1965,,,48.177,34.155,3.283,4.635,67.728,1.799,,1.799,1.765,,31.656
8/27/1965,,,49.488,35.085,3.29,4.633,67.755,1.805,,1.805,1.762,,31.602
9/27/1965,,,51.14,36.256,3.288,4.626,67.672,1.811,,1.811,1.765,,31.656
10/27/1965,,,52.618,37.304,3.288,4.647,67.88,1.817,,1.817,1.767,,31.692
11/27/1965,,,52.453,37.187,3.29,4.62,67.626,1.823,,1.823,1.771,,31.763
12/27/1965,,,53.008,37.58,3.242,4.552,66.633,1.829,,1.829,1.777,,31.871
1/27/1966,,,53.335,37.812,3.242,4.562,66.732,1.836,,1.836,1.777,,31.871
2/27/1966,,,52.634,37.315,3.215,4.51,66.037,1.842,,1.842,1.788,,32.068
3/27/1966,,,51.555,36.55,3.275,4.483,66.167,1.849,,1.849,1.793,,32.158
4/27/1966,,,52.688,37.353,3.269,4.489,66.186,1.856,,1.856,1.801,,32.301
5/27/1966,,,50.096,35.516,3.273,4.478,66.104,1.863,,1.863,1.803,,32.337
6/27/1966,,,49.363,34.996,3.265,4.491,66.18,1.87,,1.87,1.808,,32.427
7/27/1966,,,48.769,34.575,3.257,4.447,65.69,1.877,,1.877,1.814,,32.535
8/27/1966,,,45.234,32.069,3.216,4.332,64.277,1.885,,1.885,1.823,,32.696
9/27/1966,,,44.993,31.898,3.286,4.366,65.078,1.892,,1.892,1.827,,32.768
10/27/1966,,,47.214,33.473,3.311,4.48,66.375,1.901,,1.901,1.834,,32.893
11/27/1966,,,47.662,33.79,3.32,4.471,66.345,1.908,,1.908,1.834,,32.893
12/27/1966,,,47.674,33.799,3.394,4.56,67.718,1.916,,1.916,1.836,,32.929
1/27/1967,,,51.478,36.496,3.434,4.766,70.028,1.924,,1.924,1.836,,32.929
2/27/1967,,,51.846,36.756,3.429,4.67,69.042,1.931,,1.931,1.838,,32.965
3/27/1967,,,53.967,38.26,3.492,4.724,69.994,1.939,,1.939,1.842,,33.037
4/27/1967,,,56.325,39.932,3.461,4.691,69.462,1.945,,1.945,1.845,,33.091
5/27/1967,,,53.641,38.029,3.476,4.572,68.38,1.951,,1.951,1.851,,33.198
6/27/1967,,,54.658,38.75,3.397,4.47,66.845,1.957,,1.957,1.857,,33.306
7/27/1967,,,57.215,40.563,3.443,4.488,67.328,1.963,,1.963,1.866,,33.467
8/27/1967,,,56.817,40.281,3.43,4.485,67.212,1.969,,1.969,1.872,,33.575
9/27/1967,,,58.758,41.657,3.433,4.527,67.649,1.975,,1.975,1.875,,33.629
10/27/1967,,,57.136,40.507,3.416,4.4,66.276,1.983,,1.983,1.881,,33.736
11/27/1967,,,57.507,40.77,3.425,4.28,65.144,1.99,,1.99,1.886,,33.826
12/27/1967,,,59.104,41.902,3.428,4.335,65.71,1.997,,1.997,1.892,,33.934
1/27/1968,,,56.592,40.121,3.478,4.491,67.589,2.005,,2.005,1.899,,34.059
2/27/1968,,,55.113,39.073,3.491,4.508,67.844,2.012,,2.012,1.905,,34.167
3/27/1968,,,55.718,39.502,3.482,4.419,66.901,2.02,,2.02,1.914,,34.328
4/27/1968,,,60.363,42.795,3.477,4.44,67.076,2.029,,2.029,1.92,,34.436
5/27/1968,,,61.334,43.483,3.499,4.454,67.361,2.038,,2.038,1.926,,34.543
6/27/1968,,,61.98,43.941,3.557,4.509,68.291,2.046,,2.046,1.937,,34.741
7/27/1968,,,60.916,43.187,3.62,4.662,70.226,2.056,,2.056,1.946,,34.902
8/27/1968,,,61.913,43.894,3.628,4.758,71.232,2.065,,2.065,1.952,,35.01
9/27/1968,,,64.387,45.647,3.648,4.733,71.116,2.074,,2.074,1.957,,35.099
10/27/1968,,,64.945,46.043,3.651,4.658,70.391,2.083,,2.083,1.968,,35.297
11/27/1968,,,68.393,48.488,3.646,4.552,69.306,2.092,,2.092,1.976,,35.44
12/27/1968,,,65.642,46.537,3.583,4.446,67.837,2.101,,2.101,1.981,,35.53
1/27/1969,,,65.193,46.219,3.614,4.508,68.658,2.112,,2.112,1.987,,35.637
2/27/1969,,,62.414,44.249,3.609,4.436,67.91,2.121,,2.121,1.994,,35.763
3/27/1969,,,64.653,45.836,3.644,4.347,67.258,2.131,,2.131,2.011,,36.068
4/27/1969,,,66.131,46.884,3.673,4.493,68.899,2.143,,2.143,2.024,,36.301
5/27/1969,,,66.303,47.006,3.643,4.391,67.688,2.153,,2.153,2.03,,36.409
6/27/1969,,,62.708,44.457,3.613,4.406,67.639,2.164,,2.164,2.043,,36.642
7/27/1969,,,59.024,41.845,3.642,4.408,67.851,2.175,,2.175,2.052,,36.803
8/27/1969,,,61.705,43.746,3.636,4.4,67.731,2.186,,2.186,2.061,,36.965
9/27/1969,,,60.251,42.715,3.527,4.292,65.938,2.2,,2.2,2.071,,37.144
10/27/1969,,,63.014,44.674,3.644,4.347,67.258,2.213,,2.213,2.078,,37.27
11/27/1969,,,61.141,43.346,3.627,4.142,65.111,2.225,,2.225,2.089,,37.467
12/31/1969,0,0,60.059,42.579,3.557,4.086,62.994,2.239,,2.239,2.102,37.7,37.7
1/30/1970,0,0,55.594,39.414,3.568,4.144,63.632,2.252,,2.252,2.11,37.9,37.9
2/27/1970,0,0,58.693,41.611,3.724,4.31,66.266,2.266,,2.266,2.121,38.1,38.1
3/31/1970,0,0,58.949,41.793,3.757,4.291,66.295,2.279,,2.279,2.132,38.3,38.3
4/30/1970,0,0,53.793,38.137,3.679,4.184,64.744,2.291,,2.291,2.145,38.5,38.5
5/29/1970,0,0,50.685,35.934,3.72,4.115,64.337,2.303,,2.303,2.155,38.6,38.6
6/30/1970,0,0,48.321,34.258,3.742,4.116,64.49,2.316,,2.316,2.166,38.8,38.8
7/31/1970,0,0,52.035,36.891,3.799,4.345,67.095,2.328,,2.328,2.173,38.9,38.9
8/31/1970,0,0,54.522,38.654,3.843,4.388,67.8,2.341,,2.341,2.177,39,39
9/30/1970,0,0,56.495,40.053,3.919,4.449,68.89,2.353,,2.353,2.188,39.2,39.2
10/30/1970,0,0,56.025,39.72,3.956,4.406,68.711,2.364,,2.364,2.199,39.4,39.4
11/30/1970,0,0,58.858,41.728,4.134,4.664,72.386,2.375,,2.375,2.207,39.6,39.6
12/31/1970,0,0,62.375,44.221,4.156,4.837,74.216,2.385,,2.385,2.218,39.8,39.8
1/29/1971,0,0,65.07,46.132,4.226,5.095,77.188,2.394,,2.394,2.22,39.9,39.9
2/26/1971,0,0,65.83,46.671,4.321,4.908,75.982,2.402,,2.402,2.223,39.9,39.9
3/31/1971,0,0,68.422,48.508,4.401,5.035,77.741,2.409,,2.409,2.231,40,40
4/30/1971,0,0,71.082,50.394,4.257,4.916,75.644,2.416,,2.416,2.238,40.1,40.1
5/31/1971,0,0,68.306,48.426,4.262,4.837,74.906,2.423,,2.423,2.25,40.3,40.3
6/30/1971,0,0,68.532,48.586,4.182,4.889,74.893,2.432,,2.432,2.263,40.5,40.5
7/30/1971,0,0,65.879,46.706,4.193,4.876,74.837,2.442,,2.442,2.268,40.6,40.6
8/31/1971,0,0,68.436,48.518,4.34,5.146,78.427,2.453,,2.453,2.274,40.7,40.7
9/30/1971,0,0,68.132,48.303,4.351,5.094,77.992,2.462,,2.462,2.276,40.8,40.8
10/29/1971,0,0,65.465,46.412,4.447,5.238,80.021,2.471,,2.471,2.279,40.9,40.9
11/30/1971,0,0,65.478,46.421,4.47,5.253,80.317,2.48,,2.48,2.283,41,41
12/31/1971,0,0,71.295,50.545,4.519,5.37,81.777,2.49,,2.49,2.292,41.1,41.1
1/31/1972,0,0,72.762,51.585,4.567,5.352,81.913,2.497,,2.497,2.294,41.2,41.2
2/29/1972,0,0,74.778,53.015,4.573,5.409,82.508,2.503,,2.503,2.305,41.4,41.4
3/31/1972,0,0,75.396,53.453,4.58,5.422,82.681,2.51,,2.51,2.309,41.4,41.4
4/28/1972,0,0,75.909,53.816,4.586,5.441,82.905,2.517,,2.517,2.315,41.5,41.5
5/31/1972,0,0,77.404,54.876,4.594,5.53,83.825,2.525,,2.525,2.322,41.6,41.6
6/30/1972,0,0,75.898,53.809,4.614,5.493,83.595,2.532,,2.532,2.328,41.7,41.7
7/31/1972,0,0,76.26,54.065,4.621,5.509,83.796,2.54,,2.54,2.337,41.8,41.8
8/31/1972,0,0,79.072,56.059,4.628,5.549,84.232,2.547,,2.547,2.341,41.9,41.9
9/29/1972,0,0,78.872,55.917,4.635,5.566,84.443,2.556,,2.556,2.35,42.1,42.1
