Date,BIL,IVV,VEU,AGG
2016-03-31,45.487572,201.543823,41.198555,106.920822
2016-04-29,45.507477,202.33381699999998,42.067402,107.193428
2016-05-31,45.507477,205.75706499999998,41.733222999999995,107.207939
2016-06-30,45.49752,206.278824,41.427532,109.28259299999999
2016-07-29,45.517441,213.99099700000002,43.187115000000006,109.877579
2016-08-31,45.517441,214.26536600000003,43.486824,109.640892
2016-09-30,45.527393,214.279678,44.169098,109.69748700000001
2016-10-31,45.537346,210.46801800000003,43.420466999999995,108.80108600000001
2016-11-30,45.517441,218.189819,42.496834,106.009796
2016-12-30,45.527397,222.86643999999998,43.320251,106.27918999999999
2017-01-31,45.547321000000004,226.76925699999998,45.114635,106.505417
2017-02-28,45.570240000000005,235.783371,45.683353000000004,107.19329099999999
2017-03-31,45.562263,236.060532,47.050167,107.134041
2017-04-28,45.596165,238.338852,48.033867,108.10574299999999
2017-05-31,45.603153000000006,241.661819,49.499573,108.848541
2017-06-30,45.650059000000006,242.16923500000001,49.749912,108.828659
2017-07-31,45.665034999999996,247.193497,51.430454,109.19213899999998
2017-08-31,45.716999,247.87002599999997,51.758606,110.219994
2017-09-29,45.75,252.92999300000002,52.709998999999996,109.589996
2017-10-13,45.73,256.630005,53.84,109.860001
